PoiId;nome;latitude;longitude;tipo;endereco
86;Padaria salvador;-12.9074936;-38.3668838;bakery;R. Arquiteto Marcos Moreira Solter  Parque - São Cristóvão  Salvador - BA  41510-808  Brazil
87;Panificadora Dgust;-12.9172235;-38.35972599999999;bakery;Setor C  R. Dr. Artur Couto  62 - Mussurunga I  Salvador - BA  41490-350  Brazil
88;Casa dos Bolos Vovó Zete;-12.997946;-38.462111;bakery;Av. Antônio Carlos Magalhães  480 - Itaigara  Salvador - BA  41825-000  Brazil
89;ROCLAY;-12.9738492;-38.4900494;bakery;Av. Brasil  28 - Vila Laura  Salvador - BA  40270-600  Brazil
90;Bread Boutique Delicatessen;-12.9713114;-38.4353865;bakery;R. das Gaivotas  198 - Imbuí  Salvador - BA  41720-070  Brazil
91;Padaria Belo Rústico;-12.9906479;-38.4574516;bakery;R. das Rosas  514 - Pituba  Salvador - BA  41810-070  Brazil
92;Panificadora e Lanchonete Sal & Mel;-12.9137968;-38.3533918;bakery;R. da Adutora  35 - São Cristóvão  Salvador - BA  41500-385  Brazil
93;Rancho do Bolo;-13.0009711;-38.4553784;bakery;R. Território do Guaporé  344 - Pituba  Salvador - BA  41830-520  Brazil
94;Bolos da Loi;-12.9971196;-38.4936566;bakery;Av. Vasco da Gama  485 - Engenho Velho da Federação  Salvador - BA  40230-731  Brazil
95;Village Bread;-12.9491939;-38.3714596;bakery;R. Srg. Walmir Bannach  8 - Jardim Placaford  Salvador - BA  41610-130  Brazil
96;Yummy Cakes;-12.9183612;-38.3754199;bakery;Setor J  Rua D  Caminho 19  Casa 03 - Mussurunga II  Salvador - BA  41480-040  Brazil
97;Delicatessen Brioche;-12.9174103;-38.3707398;bakery;Rua J setor H  Caminho 30 - Mussurunga I  Salvador - BA  41490-450  Brazil
98;Best Bread bakery;-12.9861242;-38.4481756;bakery;rua Ivan Barreto de carvalho  número 1  Stiep - Stiep  Salvador - BA  41760-000  Brazil
99;Tortarelli;-12.9790877;-38.4544729;bakery;Av. Tancredo Neves  3133 - Caminho das Árvores  Salvador - BA  41820-021  Brazil
100;Panificadora Rey Do Pão;-12.9178197;-38.36964589999999;bakery;Rua J  37 - Mussurunga I  Salvador - BA  41490-476  Brazil
101;Bar Do Pepe;-12.9437347;-38.3686778;bar;R. da Ilha  36 - Itapuã  Salvador - BA  41620-620  Brazil
102;O Cravinho;-12.9731406;-38.5103061;bar;Largo Terreiro de Jesus  3 - Pelourinho  Salvador - BA  40026-010  Brazil
103;Alerta Praia Bar;-12.9506612;-38.3635003;bar;R. Aristídes Milton  516 - Itapuã  Salvador - BA  41301-110  Brazil
104;Five Sport Bar - Shopping Paralela;-12.9365739;-38.3952434;bar;Unidade Shopping Paralela Avenida Luís Viana Filho  nº 8544  Piso L2 - Paralela  Salvador - BA  41730-101  Brazil
105;Pipa Beach Club;-12.9218626;-38.3140869;bar;Alameda Cabo Frio  S/N  Salvador - BA  41603-135  Brazil
106;Blue Beach Bar;-13.0142478;-38.48245120000001;bar;R. Barro Vermelho  310 - Rio Vermelho  Salvador - BA  41940-340  Brazil
107;Rua 15 Restaurante e Bar;-12.9795299;-38.4299455;bar;Av. Iemanjá - Boca do Rio  Salvador - BA  41710-755  Brazil
108;Boteco Da Torre;-12.9502939;-38.3652875;bar;R. Aristídes Milton  s/n - Itapuã  Salvador - BA  41610-011  Brazil
109;Terapia Restaurante e Bar;-12.9693369;-38.4368642;bar;Av. Jorge Amado  16 - Imbuí  Salvador - BA  41720-110  Brazil
110;Bar Lagoa dos Frades;-12.9807799;-38.4436399;bar;Tv. Arnaldo Lopes da Silva  940 - Stiep  Salvador - BA  41770-850  Brazil
111;Le Petit Bar;-12.9401138;-38.3351686;bar;R. Cap. Melo  663 - Stella Maris  Salvador - BA  41.600  Brazil
112;Bar e Restaurante;-12.9125452;-38.4971898;bar;Av. Beira Mar  473 - Ribeira  Salvador - BA  40420-340  Brazil
113;Lôro - Praia do Flamengo;-12.9226105;-38.3148936;bar;R. Des. Manoel de Andrade Teixeira  266 - Praia do Flamengo  Salvador - BA  41603-135  Brazil
114;Bar Da Neuza - Point Do Mocotó;-12.9139649;-38.3671181;bar;Mussurunga I  Salvador - State of Bahia  41490-412  Brazil
115;Varanda Ferreira Bar e Restaurante;-12.9652172;-38.4326806;bar;Estr. das Pedrinhas  03 - Imbuí  Salvador - BA  41720-340  Brazil
116;Sal Marinho;-12.999919;-38.456829;bar;R. Território do Rio Branco  219 - Pituba  Salvador - BA  41830-530  Brazil
117;Bar & Restaurante Aconchego;-12.9194206;-38.3631426;bar;Caminho 18 | Mussurunga I Gleba A  S/N - Mussurunga I  Salvador - BA  41490-330  Brazil
118;30 Segundos Bar;-13.0092794;-38.4915051;bar;R. Ilhéus  21 - Rio Vermelho  Salvador - BA  41940-570  Brazil
119;Nova Alegria Bar e Restaurante;-12.9693386;-38.437136;bar;Av. Jorge Amado  s/n - Imbuí  Salvador - BA  41720-005  Brazil
120;BÃO Petiscaria;-12.97853;-38.4450989;bar;R. Manoel Joaquim Alves  314 - Stiep  Salvador - BA  41770-165  Brazil
121;Restaurante Itapuã;-12.9496571;-38.3691467;cafe;R. Flôr do Bosque  126 - Itapuã  Salvador - BA  41610-190  Brazil
122;Grão Santo Café;-12.9409191;-38.4156929;cafe;Patamares  Salvador - BA  41301-110  dentro do ferreira cosat  terreo - Patamares  BA  Brazil
123;Cafeteria Havanna - Salvador Norte Shopping;-12.9092115;-38.3516729;cafe;RODOVIA  BA-526  305 - São Cristóvão  Salvador - BA  41510-000  Brazil
124;CAFE COLONIAL AS TRÊS MARIAS;-12.9342162;-38.3441425;cafe;Alameda da Praia - Praia de Caratingui  nº 74 - Centro Comercial Tropical Center - Stella Maris  Salvador - BA  41600-115  Brazil
125;Cafeteria Toxerina | Salvador | Bahia;-12.9572478;-38.4508685;cafe;R. Antônio Carlos Magalhães - Saboeiro  Salvador - BA  41192-065  Brazil
126;Casa di Vina Restaurante;-12.9545998;-38.3523016;cafe;R. Flamengo  44 - Itapuã  Salvador - BA  41635-480  Brazil
127;Touro Louco;-12.9445927;-38.3408498;cafe;Alameda Praia de Camburiú  108 - Stella Maris  Salvador - BA  41600-460  Brazil
128;Lucca Specialty Coffees;-12.9785827;-38.4547971;cafe;Av. Tancredo Neves Stiep - Pernambués  Salvador - BA  41820-000  Brazil
129;Beach Stop;-12.932848;-38.3287828;cafe;R. José Augusto Tourinho Dantas  214 - Stella Maris  Salvador - BA  41603-110  Brazil
130;Coffeetown Salvador;-12.9892871;-38.5235395;cafe;Av. Sete de Setembro  1755 - Vitória  Salvador - BA  40080-002  Brazil
131;Solange Café- Graça;-12.9968597;-38.5216604;cafe;R. da Paz  18 - Graça  Salvador - BA  40150-140  Brazil
132;Mokeka Brasil;-12.9757376;-38.4201723;cafe;Av. Octávio Mangabeira  Salvador - BA  41706-690  Brazil
133;Mistura;-12.9545294;-38.3549363;cafe;R. Prof. Souza Brito  41 - Itapuã  Salvador - BA  41640-485  Brazil
134;Casa Castanho;-13.0097359;-38.4948744;cafe;R. Alexandre de Gusmão  57 - Rio Vermelho  Salvador - BA  41950-160  Brazil
135;Ferreiro Café Salvador;-12.9778667;-38.4544654;cafe;Av. Tancredo Neves  2915 - 1035 - Caminho das Árvores  Salvador - BA  41820-021  Brazil
136;Portal da Bahia;-12.9374373;-38.3953565;cafe;Av. Luís Viana Filho  8544 - Paralela  Salvador - BA  41730-101  Brazil
137;Ki-Mukeka (Itapuã);-12.9539235;-38.3509455;cafe;Rua do Vento Sul QD 3  lote 5 - Itapuã  Salvador - BA  41620-290  Brazil
138;Porto Brasil;-12.9918717;-38.4532083;cafe;Rua Miguel Navarro Y Cañizares  428 - Pituba  Salvador - BA  41810-215  Brazil
139;Bar do Mamão;-12.9476971;-38.3606972;cafe;R. Min. Carlos Coqueijo Costa  103 - Itapuã  Salvador - BA  41620-810  Brazil
140;Bar Zulu;-12.9742321;-38.5082679;cafe;R. das Laranjeiras  15 - Pelourinho  Salvador - BA  40026-230  Brazil
141;Solange Biscoitos Finos;-12.9940594;-38.4592106;cafe;Rua das Hortênsias  422 - Pituba  Salvador - BA  41810-000  Brazil
142;Empório Gourmet;-12.9388464;-38.4045368;cafe;Alpha Mall - Av. Alphaville  151 - Shopping  Salvador - BA  41701-015  Brazil
143;Rango Vegan;-12.9693377;-38.5080026;cafe;R. do Passo  nº 62 - Santo Antonio  Salvador - BA  40301-408  Brazil
144;Tortarelli;-12.9937171;-38.4602124;cafe;Rua das Hortênsias  552 - Itaigara  Salvador - BA  41810-010  Brazil
145;Doce Café Delicatessen;-12.9750321;-38.4213213;cafe;473  Av. Dom Eugênio Sales  449 - Boca do Rio  Salvador - BA  41706-670  Brazil
146;San Salvador;-12.9840716;-38.4501619;cafe;R. Edístio Pondé  353 - Loja 12 - Stiep  Salvador - BA  41770-395  Brazil
147;Frutos do Brasil;-12.8977372;-38.40723940000001;cafe;Av. Engenheiro  Av. Engenheiro Raymundo Carlos Nery  25 - 1 - Cajazeiras 10  Salvador - BA  41339-050  Brazil
148;Casa de Noca;-13.0069098;-38.4605981;cafe;R. Espírito Santo  106 - Pituba  Salvador - BA  41830-001  Brazil
149;Tropicália Gelato e Caffé;-12.9739622;-38.511772;cafe;R. da Misericórdia  7 - loja 3 - Pelourinho  Salvador - BA  40026-045  Brazil
150;Casa do Pão de Queijo;-12.9361398;-38.3946903;cafe;shopping paralela  Av. Luís Viana Filho  8544 - Loja C 209 - Patamares  Salvador - BA  41730-101  Brazil
151;PEREIRA CAFÉ;-13.006696;-38.523833;cafe;Av. Centenário  2992 - Loja 211 - Barra  Salvador - BA  40140-902  Brazil
152;Saúde Brasil;-12.9964913;-38.5212159;cafe;R. Humberto de Campos  6 - Graça  Salvador - BA  40150-130  Brazil
153;Cathedrall;-12.94339;-38.33917;cafe;Alameda Praia de Camburiú  16 - Stella Maris  Salvador - BA  41600-250  Brazil
154;Xodó Café;-12.9938927;-38.4582415;cafe;R. Alexandre de Humboldt  65 - Pituba  Salvador - BA  41810-030  Brazil
155;Frio Gostoso;-12.9698752;-38.4907657;cafe;R. Nilson Costa  157 - Vila Laura  Salvador - BA  40270-550  Brazil
156;Cafélier;-12.9680461;-38.5074128;cafe;R. do Carmo  50 - Santo Antônio Além do Carmo  Salvador - BA  40301-380  Brazil
157;Sabores De Itapuã;-12.9337123;-38.3588047;cafe;Av. Dorival Caymmi  1 - Itapuã  Salvador - BA  41635-151  Brazil
158;EVS Itapuã;-12.9439408;-38.3658608;cafe;Av. Dorival Caymmi  14193 - Sala 113 - Itapuã  Salvador - BA  41635-150  Brazil
159;Café Gourmet CGC;-12.9734049;-38.51076430000001;cafe;Praça da Sé  s/n - Centro  Salvador - BA  40020-210  Brazil
160;Donaeva;-12.9396404;-38.3348327;cafe;Rua Gilberto Freyre  Qd. E  Lt. 4 - Praia do Flamengo  Salvador - BA  41600-590  Brazil
161;Restaurante Brasil Legal;-13.0089958;-38.5307855;cafe;R. Afonso Celso  152 - Barra  Salvador - BA  40140-230  Brazil
162;Cantina Na Passagem;-12.9559174;-38.3928618;cafe;Rua Desembargador Polibio Mendes da Silva - 67 - Jaquaribe - Piatã  Salvador - BA  41613-078  Brazil
163;Villa Bahiana;-12.9506867;-38.3625545;cafe;Villa Bahiana - Rua Professor Souza Brito  1 - Itapuã  Salvador - BA  41.640  Brazil
164;Barbacoa Salvador;-12.9789886;-38.4576881;cafe;Av. Tancredo Neves  909 - Caminho das Árvores  Salvador - BA  41820-021  Brazil
165;Subway;-12.9372792;-38.4095337;cafe;Av. Luís Viana Filho  6775 - Trobogy  Salvador - BA  41745-130  Brazil
166;Carne do Sol da Marlene;-12.950038;-38.3659577;cafe;R. Paraíso Verde  17 - Itapuã  Salvador - BA  41610-300  Brazil
167;McDonald's;-12.9092181;-38.3518164;cafe;Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil
168;Restaurante Porto Brasil Salvador;-13.008083;-38.518908;cafe;Salvador - State of Bahia  40140-130  Brazil
169;Cold Hot Coffee;-13.0023313;-38.4557422;cafe;R. Bahia  363 - Pituba  Salvador - BA  41830-161  Brazil
170;CAFETERIA FLORIDA;-13.0039875;-38.5023199;cafe;Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
171;Restaurante Sabor Brasil;-12.974044;-38.5115011;cafe;Praça da Sé  398 - Pelourinho  Salvador - BA  40020-210  Brazil
172;Acarajé da Cira;-12.9503996;-38.3627759;cafe;em frente ao Posto 12 - R. Aristídes Milton  s/nº - Itapuã  Salvador - BA  41610-160  Brazil
173;Kamba Café & Lanches e Coffee Breaks;-12.982509;-38.4551306;cafe;Shopping Sumaré  Av. Tancredo Neves  1506 - Caminho das Árvores  Salvador - BA  41820-020  Brazil
174;Paraíso Tropical;-12.9602085;-38.4636202;cafe;Rua Edgard Loureiro  98 - B - Cabula  Salvador - BA  40342-100  Brazil
175;Jerimum Buffet Café;-12.986954;-38.4585;cafe;R. Várzea de Santo Antônio  203 - Pituba  Salvador - BA  41820-180  Brazil
176;JDE Coffee;-12.9211941;-38.456211;cafe;R. do Luxemburgo  586 - Granjas Rurais Pres. Vargas  Salvador - BA  41230-130  Brazil
177;Rei da Pamonha;-12.9223502;-38.3596992;cafe;Itapuã  Salvador - State of Bahia  Brazil
178;Point Da Pizza;-12.9044349;-38.3680136;cafe;Cassange  Salvador - State of Bahia  41301-110  Brazil
179;Nonna Café;-12.9992456;-38.455;cafe;Av. Paulo VI  355 - loja 5 - Pituba  Salvador - BA  41810-001  Brazil
180;Clube Café;-12.9797069;-38.45143280000001;cafe;Av. Tancredo Neves  2421 - Caminho das Árvores  Salvador - BA  41820-560  Brazil
190;Cinemark;-12.9779888;-38.45446829999999;movie_theater;Av. Tancredo Neves  2915 - Loja 3005 - Caminho das Árvores  Salvador - BA  41820-910  Brazil
191;Espaço Itaú de Cinema - Salvador;-12.9772187;-38.5143266;movie_theater;Praça Castro Alves  s/n - Centro  Salvador - BA  40020-160  Brazil
192;Cinema e Vídeo;-12.9350988;-38.3922428;movie_theater;Patamares  Salvador - State of Bahia  41741-590  Brazil
193;Cine Daten Paseo;-12.9955401;-38.4712012;movie_theater;Rua Rubens Guelli  135 - Itaigara  Salvador - BA  41815-135  Brazil
194;Cinépolis;-12.9094444;-38.3511111;movie_theater;Rod. BA 526  nº 305 3017 - São Cristóvão  Salvador - BA  41301-110  Brazil
195;Orient Cinemas;-12.9364406;-38.394295;movie_theater;Av. Luís Viana Filho  8.544 - Paralela  Salvador - BA  41730-101  Brazil
196;UCI Orient Shopping da Bahia;-12.9821815;-38.4634285;movie_theater;Av. Tancredo Neves  148 - Caminho das Árvores  Salvador - BA  41820-972  Brazil
197;UCI Orient Shopping Barra;-13.0058612;-38.5242594;movie_theater;Shopping Center Barra  Av. Centenário  2992 - Chame-Chame  Salvador - BA  40140-400  Brazil
198;UFBA Art Room;-12.995381;-38.518751;movie_theater;Av. Reitor Miguel Calmon  s/n  PAC Vale do - Canela  Salvador - BA  40110-100  Brazil
199;Rainha Cinema Digital;-12.9820278;-38.4538813;movie_theater;R. Frederico Simões  98 - Caminho das Árvores  Salvador - BA  41820-774  Brazil
200;Saladearte Film Museum;-12.9925765;-38.5254646;movie_theater;Av. Sete de Setembro  2195 - Vitória  Salvador - BA  40080-001  Brazil
201;Room Walter da Silveira;-12.9857652;-38.513292;movie_theater;R. Gen. Labatut  27 - Barris  Salvador - BA  40070-100  Brazil
202;Summer Lounge Drive In;-12.9825077;-38.4320255;movie_theater;Boca do Rio  Salvador - BA  41706-690 - Boca do Rio  Salvador - BA  41710-755  Brazil
203;Bahia Geological Museum;-12.9926116;-38.5254522;movie_theater;Av. Sete de Setembro  2195 - Vitória  Salvador - BA  40080-002  Brazil
204;Cine MAM;-12.9823188;-38.5201238;movie_theater;Ac. Ao Solar do Unhão - Dois de Julho  Salvador - BA  40060-110  Brazil
205;Cinépolis Bela Vista;-12.9657543;-38.4731422;movie_theater;R. dos Rodoviários  01 - Cabula  Salvador - BA  41150-125  Brazil
206;I Saui Pitoo Cinema e Bar;-12.9403698;-38.4795799;movie_theater;R. Ribeirão do Amparo  3 - Cabula IV  Salvador - BA  40352-216  Brazil
207;DIMAS- Diretoria de Audiovisual da Fundação Cultural do Estado da Bahia;-12.9745962;-38.5115384;movie_theater;Tv. do Tijolo  15 - Centro Historico  Salvador - BA  40020-247  Brazil
208;Casa de Cinema da Bahia;-12.9725511;-38.508565;movie_theater;R. Maciel de Cima  21 - Pelourinho  Salvador - BA  40026-250  Brazil
209;Cinépolis;-12.9699699;-38.47464009999999;movie_theater;Alameda Euvaldo Luz  92 - Horto Bela Vista  Salvador - BA  41098-020  Brazil
210;Cultural Afro Brazilian Museum;-12.976115;-38.5125691;museum;R. das Vassouras  1-23 - Centro  Salvador - BA  40020-020  Brazil
211;Bahia Naútico Museum;-13.0102783;-38.5328507;museum;Largo do Farol da Barra  s/n - Barra  Salvador - BA  40140-650  Brazil
212;Bahia Museum of Art;-12.9936599;-38.5259563;museum;Av. Sete de Setembro  2340 - Corredor da Vitória  Salvador - BA  40080-004  Brazil
213;Palace of Arts;-12.9978807;-38.5255849;museum;R. da Graça  284 - Graça  Salvador - BA  40150-060  Brazil
214;House and Chapel of the Former Quinta do Unhão;-12.9827887;-38.5204928;museum;Av. Contôrno  s/n - Dois de Julho  Salvador - BA  40301-110  Brazil
215;Bahia Geological Museum;-12.9926116;-38.5254522;museum;Av. Sete de Setembro  2195 - Vitória  Salvador - BA  40080-002  Brazil
216;Afro-Brazilian Museum UFBA;-12.9727902;-38.5098637;museum;Largo Terreiro de Jesus  010 - s/n - Pelourinho  Salvador - BA  40026-010  Brazil
217;Museu de Arte Moderna da Bahia - MAM;-12.9826484;-38.5206628;museum;Av. Lafayete Coutinho  s/n - Comercio  Salvador - BA  40301-155  Brazil
218;Casa do Carnaval da Bahia;-12.9724854;-38.5108757;museum;Praça Ramos de Queirós  s/n - Pelourinho  Salvador - BA  40026-055  Brazil
219;Museum of Mercy;-12.9737696;-38.5118176;museum;R. da Misericórdia  06 - Centro Histórico  Salvador - BA  40020-200  Brazil
220;Palace of Acclamation;-12.9863235;-38.52077070000001;museum;Av. Sete de Setembro  1330 - Campo Grande  Salvador - BA  40080-001  Brazil
221;Museu da Gastronomia Baiana;-12.971313;-38.508221;museum;Largo do Pelourinho  13/19 - Pelourinho  Salvador - BA  40026-280  Brazil
222;Museu de Arqueologia e Etnologia da UFBA;-12.9727133;-38.5098387;museum;Largo Terreiro de Jesus  s/n - Pelourinho  Salvador - BA  40026-010  Brazil
